fonte,registro_id,codigo_ibge,municipio,uf,orgao_razao_social,data_referencia,valor_global,objeto,eixo_id,subeixo_id,keywords_hit,estagio
PNCP,06158455000116-2-000091/2025,2105302,Imperatriz,MA,MUNICIPIO DE IMPERATRIZ,2025-05-20,2065848.24,"Aquisição de medicamentos para atender as necessidades do HMI/HMII, UPA SÃO JOSÉ, SAD, CAPS AD III, CAF e SAMU.",saude_mental,caps,caps,contratado
PNCP,06158455000116-2-000091/2025,2105302,Imperatriz,MA,MUNICIPIO DE IMPERATRIZ,2025-05-20,2065848.24,"Aquisição de medicamentos para atender as necessidades do HMI/HMII, UPA SÃO JOSÉ, SAD, CAPS AD III, CAF e SAMU.",saude_mental,alcool_drogas,caps ad,contratado
PNCP,01763614000198-2-002522/2025,5204805,Campo Alegre de Goiás,GO,MUNICIPIO DE CAMPO ALEGRE DE GOIAS,2025-09-02,320.72,"VALOR QUE SE EMPENHA PARA OCORRER COM DESPESA AQUISIÇÃO DE MATERIAL DE EXPEDIENTE (CANETA,COLA,CARTOLINA) EM MANUTENÇÃO DA CRECHE MARIA APARECIDA, DECORRENTE DO PREGÃO ELETRÔNICO N°027/2025 E ATA DE REGISTRO DE PREÇO N°025/2025, CONFORME ANEXO.",primeira_infancia,creche_pre_escola,creche,contratado
PNCP,45226214000119-2-000226/2025,3538006,Pindamonhangaba,SP,MUNICIPIO DE PINDAMONHANGABA,2025-08-28,661.57,"Contratação de empresa de prestação de serviço de cobertura securitária para CAPS 2, Ambulatório de Saúde Mental, ESF Cruz Grande e SEMOB, pelo período de 12 meses.",saude_mental,caps,caps,contratado
PNCP,45226214000119-2-000226/2025,3538006,Pindamonhangaba,SP,MUNICIPIO DE PINDAMONHANGABA,2025-08-28,661.57,"Contratação de empresa de prestação de serviço de cobertura securitária para CAPS 2, Ambulatório de Saúde Mental, ESF Cruz Grande e SEMOB, pelo período de 12 meses.",saude_mental,raps_geral,saude mental,contratado
PNCP,13805528000180-2-000147/2025,2921005,Mata de São João,BA,MUNICIPIO DE MATA DE SAO JOAO,2025-09-01,1636.0,"objeto do presente Chamamento Público é o credenciamento de fornecedores, chamamento público para aquisição de gêneros alimentícios provenientes de agricultores familiares, empreendedores familiares rurais, detentores de Declaração de Aptidão ao Programa Nacional de Agricultura Familiar – DAP Física ou Cadastro Nacional da Agricultura Familiar – CAF e Declaração Expedida pela Secretaria Municipal de Agricultura – SEAGRI, do Município de Mata de São João/BA, sempre tendo em conta a disponibilidade financeira do Município, conforme as especificações constantes do Anexo I deste Edital.",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,18301010000122-2-000081/2025,3123205,Dores do Indaiá,MG,MUNICIPIO DE DORES DO INDAIA,2025-08-27,6827.94,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA COMPLEMENTAR A ALIMENTAÇÃO ESCOLAR DOS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO DE DORES DO INDAIÁ-MG.
",seguranca_alimentar,alimentacao_escolar,alimentacao escolar,contratado
PNCP,18301010000122-2-000081/2025,3123205,Dores do Indaiá,MG,MUNICIPIO DE DORES DO INDAIA,2025-08-27,6827.94,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA COMPLEMENTAR A ALIMENTAÇÃO ESCOLAR DOS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO DE DORES DO INDAIÁ-MG.
",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,18301010000122-2-000082/2025,3123205,Dores do Indaiá,MG,MUNICIPIO DE DORES DO INDAIA,2025-08-27,23757.8,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA COMPLEMENTAR A ALIMENTAÇÃO ESCOLAR DOS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO DE DORES DO INDAIÁ-MG.
",seguranca_alimentar,alimentacao_escolar,alimentacao escolar,contratado
PNCP,18301010000122-2-000082/2025,3123205,Dores do Indaiá,MG,MUNICIPIO DE DORES DO INDAIA,2025-08-27,23757.8,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA COMPLEMENTAR A ALIMENTAÇÃO ESCOLAR DOS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO DE DORES DO INDAIÁ-MG.
",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,18301010000122-2-000083/2025,3123205,Dores do Indaiá,MG,MUNICIPIO DE DORES DO INDAIA,2025-08-27,3155.0,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA COMPLEMENTAR A ALIMENTAÇÃO ESCOLAR DOS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO DE DORES DO INDAIÁ-MG.
",seguranca_alimentar,alimentacao_escolar,alimentacao escolar,contratado
PNCP,18301010000122-2-000083/2025,3123205,Dores do Indaiá,MG,MUNICIPIO DE DORES DO INDAIA,2025-08-27,3155.0,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA COMPLEMENTAR A ALIMENTAÇÃO ESCOLAR DOS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO DE DORES DO INDAIÁ-MG.
",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,18301010000122-2-000084/2025,3123205,Dores do Indaiá,MG,MUNICIPIO DE DORES DO INDAIA,2025-08-27,8092.0,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA COMPLEMENTAR A ALIMENTAÇÃO ESCOLAR DOS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO DE DORES DO INDAIÁ-MG.
",seguranca_alimentar,alimentacao_escolar,alimentacao escolar,contratado
PNCP,18301010000122-2-000084/2025,3123205,Dores do Indaiá,MG,MUNICIPIO DE DORES DO INDAIA,2025-08-27,8092.0,"AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA COMPLEMENTAR A ALIMENTAÇÃO ESCOLAR DOS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO DE DORES DO INDAIÁ-MG.
",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,75380071000166-2-000068/2025,4122602,Rondon,PR,MUNICIPIO DE RONDON,2025-08-29,24103.74,"Aquisicao de Generos Alimenticios oriundos da Agricultura Familiar e do Empreendedor Familiar Rural, ou de suas organizacoes, que serao destinados ao fornecimento de alimentacao nas instituicoes de Educacao Basica da Rede Publica de Ensino do Municipio, em atendimento ao Programa Nacional de Alimentacao Escolar (PNAE).",seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,75380071000166-2-000068/2025,4122602,Rondon,PR,MUNICIPIO DE RONDON,2025-08-29,24103.74,"Aquisicao de Generos Alimenticios oriundos da Agricultura Familiar e do Empreendedor Familiar Rural, ou de suas organizacoes, que serao destinados ao fornecimento de alimentacao nas instituicoes de Educacao Basica da Rede Publica de Ensino do Municipio, em atendimento ao Programa Nacional de Alimentacao Escolar (PNAE).",seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,22681423000157-2-000098/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,6291.2,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,22681423000157-2-000098/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,6291.2,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,22681423000157-2-000099/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,2787.5,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,alimentacao_escolar,alimentacao escolar;pnae,contratado
PNCP,22681423000157-2-000099/2025,3126703,Francisco Sá,MG,MUNICIPIO DE FRANCISCO SA,2025-05-21,2787.5,CHAMADA PUBLICA PARA AQUISICAO DE GENEROS ALIMENTICIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL PARA ATENDIMENTO AO PROGRAMA NACIONAL DE ALIMENTACAO ESCOLAR  PNAE EM ATENDIMENTO A SECRETARIA MUNICIPAL DE EDUCACAO DE FRANCISCO SAMG.,seguranca_alimentar,agricultura_familiar,agricultura familiar,contratado
PNCP,12298037000127-2-000344/2025,3526704,Leme,SP,FUNDO MUNICIPAL DE SAUDE DE LEME/SP,2025-08-27,58631.51,CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE MAO DE OBRA ESPECIALIZADA E MATERIAIS PARA INSTALACAO DE GRADIL E PORTAO DE ACESSO NO PREDIO DO CAPS ADULTO,saude_mental,caps,caps,contratado
